[2025-02-13_19-13-22-685] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-22-685.wav | Frequencies: [np.float64(18.747183415953135), np.float64(139.1617845876521), np.float64(0.7210455159981974), np.float64(47.94952681388013), np.float64(70.66246056782335), np.float64(100.22532672374945), np.float64(164.39837764758903), np.float64(191.07706173952232), np.float64(120.77512392969807), np.float64(259.215863001352)] | Type: Normal Sound Range
[2025-02-13_19-13-28-524] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-28-524.wav | Frequencies: [np.float64(139.5223073456512), np.float64(22.35241099594412), np.float64(2.523659305993691), np.float64(53.71789094186571), np.float64(93.73591707976567), np.float64(173.77196935556557), np.float64(192.51915277151872), np.float64(74.98873366381254), np.float64(222.4425416854439), np.float64(271.11311401532225)] | Type: Normal Sound Range
[2025-02-13_19-13-34-280] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-34-280.wav | Frequencies: [np.float64(14.420910319963948), np.float64(140.6038756196485), np.float64(32.447048219918884), np.float64(63.452005407841376), np.float64(158.63001351960344), np.float64(178.45876520955386), np.float64(110.68048670572331), np.float64(260.65795403334835), np.float64(210.54529067147365), np.float64(83.2807570977918)] | Type: Normal Sound Range
[2025-02-13_19-13-39-991] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-39-991.wav | Frequencies: [np.float64(22.35241099594412), np.float64(139.5223073456512), np.float64(60.20730058584949), np.float64(0.3605227579990987), np.float64(174.1324921135647), np.float64(105.99369085173502), np.float64(41.09959441189726), np.float64(252.3659305993691), np.float64(81.11762054979721), np.float64(272.9157278053177)] | Type: Normal Sound Range
[2025-02-13_19-13-45-829] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-45-829.wav | Frequencies: [np.float64(12.257773771969356), np.float64(139.5223073456512), np.float64(32.447048219918884), np.float64(109.95944118972511), np.float64(68.13880126182966), np.float64(173.41144659756648), np.float64(250.9238395673727), np.float64(91.57278053177107), np.float64(222.4425416854439), np.float64(292.02343397926995)] | Type: Normal Sound Range
[2025-02-13_19-13-51-584] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-51-584.wav | Frequencies: [np.float64(21.631365479945924), np.float64(140.2433528616494), np.float64(672.01442091032), np.float64(293.4655250112664), np.float64(1.8026137899954935), np.float64(652.1856692203696), np.float64(504.7318611987382), np.float64(721.7665615141956), np.float64(346.82289319513296), np.float64(577.196935556557)] | Type: Normal Sound Range
[2025-02-13_19-13-58-037] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-13-58-037.wav | Frequencies: [np.float64(139.8828301036503), np.float64(24.155024785939613), np.float64(68.49932401982876), np.float64(91.57278053177107), np.float64(45.42586750788644), np.float64(186.75078864353313), np.float64(5.407841369986481), np.float64(109.95944118972511), np.float64(168.3641279855791), np.float64(227.12933753943219)] | Type: Normal Sound Range
[2025-02-13_19-14-04-068] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-04-068.wav | Frequencies: [np.float64(16.223524109959442), np.float64(139.8828301036503), np.float64(37.13384407390717), np.float64(68.85984677782785), np.float64(100.58584948174854), np.float64(173.41144659756648), np.float64(120.41460117169898), np.float64(276.5209553853087), np.float64(236.86345200540785), np.float64(216.31365479945924)] | Type: Normal Sound Range
[2025-02-13_19-14-09-997] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-09-997.wav | Frequencies: [np.float64(21.631365479945924), np.float64(139.8828301036503), np.float64(0.7210455159981974), np.float64(43.983776475890046), np.float64(173.77196935556557), np.float64(65.25461919783687), np.float64(214.87156376746285), np.float64(106.71473636773322), np.float64(234.33979269941418), np.float64(6813.880126182966)] | Type: Normal Sound Range
[2025-02-13_19-14-15-729] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-15-729.wav | Frequencies: [np.float64(138.80126182965301), np.float64(18.747183415953135), np.float64(1575.8449752140605), np.float64(0.7210455159981974), np.float64(38.57593510590356), np.float64(4203.334835511492), np.float64(5968.4542586750795), np.float64(1102.839116719243), np.float64(1398.4677782785038), np.float64(1720.0540784137)] | Type: Normal Sound Range
[2025-02-13_19-14-21-473] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-21-473.wav | Frequencies: [np.float64(139.1617845876521), np.float64(103.47003154574134), np.float64(12.978819287967553), np.float64(81.83866606579541), np.float64(62.37043713384408), np.float64(180.98242451554756), np.float64(32.086525461919784), np.float64(3270.3019378098243), np.float64(204.77692654348806), np.float64(6738.5308697611545)] | Type: Normal Sound Range
[2025-02-13_19-14-27-304] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-27-304.wav | Frequencies: [np.float64(138.80126182965301), np.float64(15.863001351960344), np.float64(177.37719693555658), np.float64(52.99684542586751), np.float64(94.45696259576387), np.float64(206.94006309148267), np.float64(266.78684091933303), np.float64(72.82559711581794), np.float64(294.18657052726456), np.float64(226.0477692654349)] | Type: Normal Sound Range
[2025-02-13_19-14-33-035] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-33-035.wav | Frequencies: [np.float64(138.80126182965301), np.float64(16.223524109959442), np.float64(37.13384407390717), np.float64(79.31500675980172), np.float64(102.74898602974314), np.float64(167.64308246958092), np.float64(195.7638575935106), np.float64(56.2415502478594), np.float64(722.4876070301939), np.float64(273.99729607931505)] | Type: Normal Sound Range
[2025-02-13_19-14-38-798] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-38-798.wav | Frequencies: [np.float64(20.18927444794953), np.float64(138.44073907165392), np.float64(1.8026137899954935), np.float64(71.02298332582245), np.float64(44.70482199188824), np.float64(166.5615141955836), np.float64(108.15682739972962), np.float64(202.61378999549348), np.float64(276.88147814330785), np.float64(223.5241099594412)] | Type: Normal Sound Range
[2025-02-13_19-14-44-710] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-44-710.wav | Frequencies: [np.float64(20.18927444794953), np.float64(139.5223073456512), np.float64(0.7210455159981974), np.float64(494.99774673276255), np.float64(39.65750337990086), np.float64(107.43578188373142), np.float64(218.47679134745383), np.float64(180.98242451554756), np.float64(268.94997746732764), np.float64(67.41775574583146)] | Type: Normal Sound Range
[2025-02-13_19-14-50-529] Confidence: 0.90 | Text: volume down | Audio: audio_logs/speech_2025-02-13_19-14-50-529.wav | Frequencies: [np.float64(16.223524109959442), np.float64(138.44073907165392), np.float64(36.77332131590807), np.float64(77.51239296980623), np.float64(201.17169896349708), np.float64(103.83055430374043), np.float64(175.57458314556106), np.float64(263.90265885534023), np.float64(156.82739972960795), np.float64(668.7697160883281)] | Type: Normal Sound Range
[2025-02-13_19-14-57-206] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-14-57-206.wav | Frequencies: [np.float64(17.665615141955836), np.float64(138.80126182965301), np.float64(77.15187021180712), np.float64(36.77332131590807), np.float64(58.40468679585399), np.float64(263.90265885534023), np.float64(176.65615141955837), np.float64(100.94637223974765), np.float64(199.0085624155025), np.float64(299.95493465525016)] | Type: Normal Sound Range
[2025-02-13_19-15-03-021] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-03-021.wav | Frequencies: [np.float64(138.44073907165392), np.float64(13.339342045966653), np.float64(35.69175304191077), np.float64(177.73771969355568), np.float64(69.94141505182515), np.float64(195.7638575935106), np.float64(269.6710229833258), np.float64(108.15682739972962), np.float64(668.0486705723299), np.float64(157.90896800360525)] | Type: Normal Sound Range
[2025-02-13_19-15-08-873] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-08-873.wav | Frequencies: [np.float64(138.80126182965301), np.float64(18.386660657954035), np.float64(36.41279855790897), np.float64(174.1324921135647), np.float64(99.14375844975214), np.float64(265.34474988733666), np.float64(72.46507435781885), np.float64(206.57954033348358), np.float64(118.61198738170349), np.float64(227.8503830554304)] | Type: Normal Sound Range
[2025-02-13_19-15-14-703] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-14-703.wav | Frequencies: [np.float64(19.10770617395223), np.float64(138.44073907165392), np.float64(37.13384407390717), np.float64(81.11762054979721), np.float64(171.2483100495719), np.float64(107.43578188373142), np.float64(62.37043713384408), np.float64(0.7210455159981974), np.float64(193.2401982875169), np.float64(269.31050022532673)] | Type: Normal Sound Range
[2025-02-13_19-15-20-457] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-20-457.wav | Frequencies: [np.float64(19.82875168995043), np.float64(139.1617845876521), np.float64(52.63632266786841), np.float64(1664.1730509238396), np.float64(72.10455159981974), np.float64(102.74898602974314), np.float64(179.90085624155026), np.float64(1.0815682739972963), np.float64(198.28751689950428), np.float64(228.2109058134295)] | Type: Normal Sound Range
[2025-02-13_19-15-26-292] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-26-292.wav | Frequencies: [np.float64(22.35241099594412), np.float64(139.1617845876521), np.float64(42.18116268589455), np.float64(92.65434880576836), np.float64(72.10455159981974), np.float64(179.17981072555207), np.float64(2.1631365479945925), np.float64(197.5664713835061), np.float64(111.7620549797206), np.float64(267.1473636773321)] | Type: Normal Sound Range
[2025-02-13_19-15-32-233] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-32-233.wav | Frequencies: [np.float64(139.1617845876521), np.float64(15.502478593961245), np.float64(104.19107706173953), np.float64(179.54033348355117), np.float64(37.13384407390717), np.float64(79.31500675980172), np.float64(159.71158179360074), np.float64(207.30058584948176), np.float64(235.42136097341145), np.float64(262.82109058134296)] | Type: Normal Sound Range
[2025-02-13_19-15-37-960] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-37-960.wav | Frequencies: [np.float64(138.0802163136548), np.float64(19.10770617395223), np.float64(182.42451554754396), np.float64(109.598918431726), np.float64(80.03605227579992), np.float64(37.49436683190627), np.float64(670.2118071203245), np.float64(1641.0995944118974), np.float64(162.95628661559263), np.float64(242.63181613339344)] | Type: Normal Sound Range
[2025-02-13_19-15-43-776] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-43-776.wav | Frequencies: [np.float64(138.44073907165392), np.float64(27.3997296079315), np.float64(1.0815682739972963), np.float64(171.2483100495719), np.float64(223.8846327174403), np.float64(110.68048670572331), np.float64(397.2960793150068), np.float64(695.4484001802614), np.float64(69.94141505182515), np.float64(669.8512843623254)] | Type: Normal Sound Range
[2025-02-13_19-15-49-511] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-49-511.wav | Frequencies: [np.float64(139.1617845876521), np.float64(56.2415502478594), np.float64(27.7602523659306), np.float64(6.849932401982875), np.float64(171.608832807571), np.float64(78.95448400180263), np.float64(101.30689499774674), np.float64(204.41640378548897), np.float64(3625.4168544389368), np.float64(226.7688147814331)] | Type: Normal Sound Range
[2025-02-13_19-15-55-343] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-15-55-343.wav | Frequencies: [np.float64(99.14375844975214), np.float64(157.18792248760704), np.float64(18.386660657954035), np.float64(139.1617845876521), np.float64(57.68364127985579), np.float64(77.51239296980623), np.float64(0.3605227579990987), np.float64(117.89094186570529), np.float64(253.4474988733664), np.float64(202.25326723749438)] | Type: Normal Sound Range
[2025-02-13_19-16-01-118] Confidence: 0.00 | Text: [Unrecognized Speech] | Audio: audio_logs/speech_2025-02-13_19-16-01-118.wav | Frequencies: [np.float64(13.69986480396575), np.float64(150.69851284362326), np.float64(206.21901757548446), np.float64(52.63632266786841), np.float64(177.73771969355568), np.float64(95.17800811176207), np.float64(127.98557908968004), np.float64(72.82559711581794), np.float64(34.24966200991438), np.float64(261.0184767913475)] | Type: Normal Sound Range
